location,map_or_file,species,method,level,conditions,origin,on_pick_list
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_CROAGUNK,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_YANMA,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_LOTAD,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_SKORUPI,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",vanilla,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_DEWPIDER,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_SURSKIT,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_BRELOOM,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_KOFFING,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_WOOPER,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_CROAGUNK,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_YANMA,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_LOTAD,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_SKORUPI,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,vanilla,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_DEWPIDER,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_SURSKIT,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_BRELOOM,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_KOFFING,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_BARBOACH,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_CARVANHA,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_FRILLISH,great marsh daily (post-natdex),22-30,the same rotation once the National Dex is in hand; the binoculars on the lookout show a random slot of the same table,base-rom,yes
Pal Park,src/catching_show.c,(from the GBA save),pal park migration,(as migrated),"six Pokemon at a time migrated out of a Ruby/Sapphire/Emerald/FireRed/LeafGreen cartridge, then caught in the catching show; the species come from that save, not from any table in this tree; needs the National Dex and a DS with a GBA slot",vanilla,n/a
Solaceon Town,src/egg.c,(egg of the mother's line),day care egg,1,"breeding at the Solaceon Day Care; the only route to baby stages and to any egg move; the Day Care man's gift is a Floette rather than the base ROM's Ditto, so there is no longer a universal breeding partner, which Ian ruled out of scope on 2026-09-21",vanilla,n/a
